HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
7,7-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
7,7-6,6,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,2,1,0,37.4075,0.541428571,0.00025,0.14
7,7-7,7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,4,5,1,1,37.4075,0.541428571,0.00025,0.087
7,7-8,8,0,0,0,0,0,0,0,0,0,0,0,100,22,29,35,0,5,53,30,23,37.4075,0.541428571,0.00025,0.245
7,7-9,9,0,0,0,0,0,0,0,0,0,0,0,139,35,39,32,2,17,84,49,16,37.4075,0.541428571,0.00025,0.225666667
7,7-10,10,0,0,0,0,0,0,0,0,0,0,0,99,31,34,17,3,14,62,28,17,37.4075,0.541428571,0.00025,0.270666667
7,7-11,11,0,0,0,0,0,0,0,0,0,0,0,157,61,74,46,0,23,75,31,22,37.4075,0.541428571,0.00025,0.235
7,7-12,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,2,1,0,37.4075,0.541428571,0.00025,0.235
8,8-1,1,0,0,0,0,0,0,0,0,0,0,0,47,8,7,10,1,13,24,14,5,37.4075,0.541428571,0.00025,0.2165
8,8-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
8,8-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
8,8-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
8,8-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
8,8-6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.009
8,8-7,7,0,0,0,0,0,0,0,0,0,0,0,85,17,18,17,0,9,58,37,3,37.4075,0.541428571,0.00025,0.087
8,8-8,8,0,0,0,0,0,0,0,0,0,0,0,152,37,50,55,0,20,64,25,12,37.4075,0.541428571,0.00025,0.221
8,8-9,9,0,0,0,0,0,0,0,0,0,0,0,210,49,74,37,4,23,121,45,22,37.4075,0.541428571,0.00025,0.165
8,8-10,10,0,0,0,0,0,0,0,0,0,0,0,66,15,16,12,1,13,39,27,15,37.4075,0.541428571,0.00025,0.225666667
8,8-11,11,0,0,0,0,0,0,0,0,0,0,0,75,29,31,19,0,7,47,26,19,37.4075,0.541428571,0.00025,0.225666667
8,8-12,12,0,0,0,0,0,0,0,0,0,0,0,209,51,62,51,1,30,116,57,31,37.4075,0.541428571,0.00025,0.23
9,9-1,1,0,0,0,0,0,0,0,0,0,0,0,193,61,68,41,4,37,104,46,27,37.4075,0.541428571,0.00025,0.204
9,9-2,2,0,0,0,0,0,0,0,0,0,0,0,84,22,25,17,1,19,44,20,6,37.4075,0.541428571,0.00025,0.198
9,9-3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,37.4075,0.541428571,0.00025,0.213333333
9,9-4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4075,0.541428571,0.00025,0.0045
