HexagonNumber,HexandMonth,Month,Under20,20to29,30to39,40to49,50to59,60to69,70andabove,TotalNarcan,NarcanAdministered,Male,Female,MPDCalls,FEMSCalls,MedicalCalls,MiscCals,OverdoseCalls,PropertyCalls,QOLCalls,TrafficCalls,ViolentCalls,AverageTemperature,AverageHumidity,AveragePrecipitation,Unemployment
325,325-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,63.49642857,0.676785714,0.007685714,0.049
333,333-1,1,0,0,0,0,1,0,0,1,1,1,0,2,1,1,1,0,1,0,0,0,78.35428571,0.562857143,0.00003929,0.009
335,335-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.35428571,0.562857143,0.00003929,0.009
337,337-1,1,0,0,0,0,1,0,0,1,1,1,0,72,21,24,16,2,10,41,17,13,78.35428571,0.562857143,0.00003929,0.165
338,338-1,1,0,0,0,0,1,0,1,2,1,1,1,300,58,66,71,2,49,170,63,46,78.35428571,0.562857143,0.00003929,0.189666667
340,340-1,1,0,0,0,0,0,0,0,0,0,0,0,66,22,25,12,1,10,40,34,11,78.35428571,0.562857143,0.00003929,0.131666667
341,341-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.35428571,0.562857143,0.00003929,0
342,342-1,1,0,0,1,0,0,1,0,2,1,2,0,46,14,19,12,0,9,20,14,2,78.35428571,0.562857143,0.00003929,0.107
343,343-1,1,1,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,78.35428571,0.562857143,0.00003929,0.1405
344,344-1,1,0,0,0,0,2,0,0,2,1,1,1,45,11,10,10,0,9,27,21,4,78.35428571,0.562857143,0.00003929,0.124
345,345-1,1,0,0,0,0,0,0,0,0,0,0,0,67,3,6,13,0,8,43,11,7,78.35428571,0.562857143,0.00003929,0.156
347,347-1,1,0,0,0,0,0,0,0,0,0,0,0,170,37,49,48,4,28,78,49,10,78.35428571,0.562857143,0.00003929,0.085
350,350-1,1,0,0,0,0,0,0,0,0,0,0,0,71,7,18,12,1,17,30,19,8,78.35428571,0.562857143,0.00003929,0.18925
351,351-1,1,0,0,0,0,1,0,0,1,1,1,0,30,5,1,2,0,0,32,30,1,78.35428571,0.562857143,0.00003929,0.043
353,353-1,1,0,0,0,0,0,0,0,0,0,0,0,116,46,55,23,0,27,57,40,15,78.35428571,0.562857143,0.00003929,0.1418
354,354-1,1,0,0,0,0,0,0,0,0,0,0,0,200,102,120,37,0,27,118,84,22,78.35428571,0.562857143,0.00003929,0.0434
355,355-1,1,0,0,0,1,1,0,0,2,1,2,0,114,30,37,20,1,23,63,31,21,78.35428571,0.562857143,0.00003929,0.1565
356,356-1,1,1,0,0,0,0,0,1,2,1,1,1,51,13,20,3,1,6,34,16,8,78.35428571,0.562857143,0.00003929,0.2565
365,365-1,1,0,0,0,0,0,0,0,0,0,0,0,44,3,3,7,0,23,14,11,0,78.35428571,0.562857143,0.00003929,0.027
367,367-1,1,0,0,0,0,0,0,0,0,0,0,0,75,11,18,8,0,18,42,30,5,78.35428571,0.562857143,0.00003929,0.027
369,369-1,1,0,0,0,0,1,1,0,2,1,2,0,193,50,53,50,1,16,123,71,17,78.35428571,0.562857143,0.00003929,0.152
370,370-1,1,0,0,0,1,0,1,0,2,1,2,0,14,7,7,3,0,5,6,4,0,78.35428571,0.562857143,0.00003929,0.0405
372,372-1,1,0,0,0,0,0,0,0,0,0,0,0,14,3,2,2,0,0,13,12,0,78.35428571,0.562857143,0.00003929,0.02
373,373-1,1,0,0,0,0,0,0,0,0,0,0,0,198,52,52,21,2,40,135,61,28,78.35428571,0.562857143,0.00003929,0.08575
374,374-1,1,0,0,0,0,1,0,0,1,1,0,1,9,1,4,3,0,1,2,1,1,78.35428571,0.562857143,0.00003929,0.102
375,375-1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,5,1,1,0,78.35428571,0.562857143,0.00003929,0.055666667
377,377-1,1,0,1,0,0,0,0,0,1,1,1,0,20,4,2,5,0,5,12,8,1,78.35428571,0.562857143,0.00003929,0.127
378,378-1,1,0,0,0,0,0,0,0,0,0,0,0,26,3,2,4,0,13,10,7,0,78.35428571,0.562857143,0.00003929,0.03
379,379-1,1,0,0,1,0,0,0,0,1,1,1,0,105,13,22,24,0,21,51,20,9,78.35428571,0.562857143,0.00003929,0.128
380,380-1,1,0,0,0,0,0,0,0,0,0,0,0,13,2,3,2,0,7,3,1,0,78.35428571,0.562857143,0.00003929,0.023
381,381-1,1,0,0,0,0,0,0,0,0,0,0,0,108,27,32,24,1,18,60,35,11,78.35428571,0.562857143,0.00003929,0.077333333
385,385-1,1,0,0,0,0,0,0,0,0,0,0,0,201,36,49,46,0,35,107,52,15,78.35428571,0.562857143,0.00003929,0.115666667
386,386-1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,0,0,6,6,0,78.35428571,0.562857143,0.00003929,0.023
388,388-1,1,0,0,1,0,0,0,0,1,1,0,1,33,20,21,5,0,13,14,6,0,78.35428571,0.562857143,0.00003929,0.035
389,389-1,1,0,0,0,0,0,0,0,0,0,0,0,41,2,2,1,0,2,38,37,0,78.35428571,0.562857143,0.00003929,0.0375
399,399-1,1,0,0,0,0,0,0,1,1,1,1,0,264,56,76,45,0,29,170,82,38,84.56392857,0.577857143,0.000482143,0.312
401,401-1,1,0,0,0,0,0,0,1,1,1,1,0,19,3,4,8,0,2,8,4,1,84.56392857,0.577857143,0.000482143,0.087
402,402-1,1,0,0,0,0,0,0,0,0,0,0,0,312,57,68,79,6,48,168,80,49,84.56392857,0.577857143,0.000482143,0.23
403,403-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56392857,0.577857143,0.000482143,0.009
405,405-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56392857,0.577857143,0.000482143,0
406,406-1,1,0,0,0,0,0,0,0,0,0,0,0,78,15,19,13,0,10,51,23,11,84.56392857,0.577857143,0.000482143,0.107
407,407-1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,2,2,0,84.56392857,0.577857143,0.000482143,0.11975
410,410-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56392857,0.577857143,0.000482143,0.194
413,413-1,1,0,0,0,0,0,1,0,1,1,1,0,16,10,13,3,0,0,10,7,2,84.56392857,0.577857143,0.000482143,0.383666667
414,414-1,1,0,0,0,0,0,0,0,0,0,0,0,18,4,3,4,0,4,11,9,3,84.56392857,0.577857143,0.000482143,0.026
422,422-1,1,0,0,0,0,0,0,0,0,0,0,0,161,52,79,41,0,25,68,55,15,84.56392857,0.577857143,0.000482143,0.030333333
423,423-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56392857,0.577857143,0.000482143,0.1655
431,431-1,1,0,0,0,0,0,0,0,0,0,0,0,386,116,163,65,6,65,203,96,34,84.56392857,0.577857143,0.000482143,0.055
436,436-1,1,0,0,0,0,0,0,0,0,0,0,0,234,74,96,33,1,46,132,62,31,84.56392857,0.577857143,0.000482143,0.06775
440,440-1,1,1,0,0,0,0,0,0,1,1,0,0,9,3,3,2,0,7,0,0,0,84.56392857,0.577857143,0.000482143,0.055666667
443,443-1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1,2,0,0,84.56392857,0.577857143,0.000482143,0.096
445,445-1,1,0,0,0,0,0,0,0,0,0,0,0,86,15,25,20,1,19,36,19,9,84.56392857,0.577857143,0.000482143,0.128
447,447-1,1,0,0,1,0,1,0,0,2,1,2,0,67,24,30,11,0,9,41,21,8,84.56392857,0.577857143,0.000482143,0.095
450,450-1,1,0,0,0,0,0,0,0,0,0,0,0,13,2,2,5,0,4,4,2,2,84.56392857,0.577857143,0.000482143,0.023
456,456-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.56392857,0.577857143,0.000482143,0.049
461,461-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.51392857,0.580714286,0.000703571,0.274
468,468-1,1,0,1,0,0,0,0,0,1,1,0,1,265,52,63,45,5,51,153,66,34,84.51392857,0.580714286,0.000703571,0.23
469,469-1,1,0,0,0,0,0,0,0,0,0,0,0,161,73,93,35,4,25,77,45,23,84.51392857,0.580714286,0.000703571,0.2435
470,470-1,1,0,0,0,0,1,0,1,2,1,2,0,143,53,58,21,5,24,88,42,21,84.51392857,0.580714286,0.000703571,0.156
471,471-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.51392857,0.580714286,0.000703571,0.099
472,472-1,1,0,0,0,0,0,1,0,1,1,1,0,4,0,0,1,0,2,1,1,0,84.51392857,0.580714286,0.000703571,0.077666667
474,474-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.51392857,0.580714286,0.000703571,0
477,477-1,1,0,0,0,0,0,1,0,1,1,1,0,14,9,8,2,0,9,4,3,0,84.51392857,0.580714286,0.000703571,0.103
478,478-1,1,0,0,0,0,0,0,0,0,0,0,0,28,7,6,5,0,0,24,23,0,84.51392857,0.580714286,0.000703571,0
479,479-1,1,0,0,0,0,1,0,0,1,1,1,0,30,20,8,4,3,2,33,23,2,84.51392857,0.580714286,0.000703571,0.1795
481,481-1,1,0,0,0,0,1,0,0,1,1,1,0,72,12,13,12,0,30,29,9,1,84.51392857,0.580714286,0.000703571,0.18925
502,502-1,1,0,0,0,0,0,0,0,0,0,0,0,9,9,11,1,1,1,4,4,1,84.51392857,0.580714286,0.000703571,0.1
503,503-1,1,0,0,0,0,0,1,0,1,1,0,1,80,26,31,20,2,18,35,24,4,84.51392857,0.580714286,0.000703571,0.127
504,504-1,1,0,0,0,0,0,0,0,0,0,0,0,53,22,27,10,0,14,24,15,4,84.51392857,0.580714286,0.000703571,0.0215
508,508-1,1,0,0,0,0,0,0,0,0,0,0,0,145,28,39,32,0,35,67,39,20,84.51392857,0.580714286,0.000703571,0.157
509,509-1,1,1,1,0,0,0,0,0,2,1,1,0,12,1,1,1,0,10,1,0,0,84.51392857,0.580714286,0.000703571,0.096
510,510-1,1,0,0,0,1,0,0,0,1,1,0,1,5,5,5,2,0,0,3,2,1,84.51392857,0.580714286,0.000703571,0.0655
511,511-1,1,0,0,0,0,0,1,0,1,1,0,1,5,0,0,1,0,3,1,0,0,84.51392857,0.580714286,0.000703571,0.096
512,512-1,1,0,0,0,0,0,0,0,0,0,0,0,39,11,15,6,1,4,24,8,6,84.51392857,0.580714286,0.000703571,0.052
513,513-1,1,0,0,0,1,0,0,0,1,1,1,0,4,1,0,0,0,1,4,3,0,84.51392857,0.580714286,0.000703571,0.0595
